epoch,epoch_minutes,loss,sparse_categorical_accuracy,train_hours,val_dice,val_loss,val_precision,val_recall,val_sparse_categorical_accuracy
0,5.2068,1.276809811592102,0.40452292561531067,0.0868,0.265,1.1498,0.2704,0.2888,0.4603
1,3.3841,1.165523886680603,0.46847766637802124,0.1435,0.3122,1.0046,0.3121,0.3422,0.5513
2,3.6126,1.1145447492599487,0.4952033460140228,0.2039,0.2839,0.9436,0.2968,0.3072,0.5766
3,3.4935,1.0803906917572021,0.5117909908294678,0.2623,0.3183,1.0068,0.3164,0.3355,0.6208
4,3.5198,1.0542573928833008,0.522662341594696,0.3213,0.3205,1.1539,0.3284,0.3391,0.551
5,3.7379,1.0251500606536865,0.5336101055145264,0.3837,0.3264,1.0314,0.366,0.3532,0.6226
6,3.5242,1.0003525018692017,0.5419397950172424,0.4428,0.3209,0.944,0.3308,0.3375,0.6279
7,3.4286,0.9737848043441772,0.5511748194694519,0.5001,0.3305,0.9844,0.3415,0.3494,0.5627
8,3.4357,0.9658483862876892,0.5526701807975769,0.5576,0.3522,0.9862,0.3598,0.3732,0.6809
9,3.5181,0.9528913497924805,0.5578084588050842,0.6164,0.3505,1.0832,0.3586,0.365,0.6517
10,3.3911,0.9357346892356873,0.5630518198013306,0.6731,0.3376,0.9301,0.3391,0.3731,0.569
11,3.5085,0.9148610234260559,0.5729293823242188,0.7319,0.3473,1.1103,0.349,0.352,0.5889
12,3.4795,0.9126996397972107,0.5681972503662109,0.79,0.3447,1.0527,0.3501,0.3532,0.6263
13,3.4229,0.8952649831771851,0.5781823396682739,0.8472,0.342,0.9285,0.3492,0.3638,0.5341
14,3.3366,0.8845313191413879,0.5791068077087402,0.9031,0.3743,0.9888,0.3752,0.409,0.7068
15,3.3672,0.876728892326355,0.5817726850509644,0.9594,0.3313,0.979,0.3378,0.3637,0.6038
16,3.4399,0.8537954688072205,0.5895863771438599,1.0169,0.3747,0.9826,0.3776,0.403,0.6559
17,3.4686,0.8516333699226379,0.5904248356819153,1.075,0.337,1.1568,0.3549,0.3637,0.559
18,3.4814,0.8436038494110107,0.592488706111908,1.1334,0.3558,1.0628,0.3646,0.3766,0.6136
19,3.3422,0.8197072148323059,0.6046858429908752,1.1893,0.3769,1.0917,0.3789,0.4068,0.5958
20,3.2516,0.8212849497795105,0.603539228439331,1.2437,0.363,0.8936,0.3604,0.3971,0.6551
21,3.6274,0.8157275319099426,0.6022922992706299,1.3044,0.397,1.0361,0.3928,0.4132,0.7037
22,3.4405,0.8064611554145813,0.6076670289039612,1.3619,0.3748,1.0541,0.3911,0.3841,0.6497
23,3.5873,0.7943377494812012,0.6138730645179749,1.4219,0.3774,0.9335,0.3784,0.3968,0.6416
