epoch,epoch_minutes,loss,sparse_categorical_accuracy,train_hours,val_dice,val_loss,val_precision,val_recall,val_sparse_categorical_accuracy
0,8.7197,1.2640804052352905,0.418425589799881,0.1454,0.3321,1.1051,0.3498,0.3585,0.598
1,4.7533,1.1523431539535522,0.4818858802318573,0.2249,0.3245,1.0657,0.3388,0.3471,0.6208
2,4.4691,1.0849723815917969,0.5133413076400757,0.2996,0.3721,1.1065,0.3956,0.3832,0.7172
3,4.3193,1.056383490562439,0.5218955278396606,0.3718,0.3582,1.0377,0.3732,0.3672,0.6795
4,4.3208,1.0237650871276855,0.5353228449821472,0.444,0.3559,1.1375,0.3656,0.3697,0.6486
5,4.6723,1.0018941164016724,0.5415217280387878,0.5221,0.379,1.0844,0.3964,0.3957,0.6553
6,4.5196,0.9825904965400696,0.548470675945282,0.5977,0.3616,1.2225,0.3827,0.3886,0.6272
7,4.6189,0.9641059041023254,0.5516095757484436,0.6749,0.3752,1.1777,0.3903,0.3957,0.6699
8,4.5431,0.9458408355712891,0.5585417747497559,0.7508,0.3691,1.1622,0.3926,0.3823,0.6573
9,4.5308,0.9342791438102722,0.5601685643196106,0.8265,0.3959,1.17,0.4149,0.416,0.6617
10,4.4823,0.9100461602210999,0.5721578598022461,0.9015,0.3773,1.1391,0.406,0.3989,0.6389
11,4.3938,0.9015698432922363,0.573779821395874,0.9749,0.3834,1.0588,0.3936,0.3938,0.6352
12,4.8147,0.8859374523162842,0.5773032307624817,1.0554,0.4113,1.0536,0.4217,0.4207,0.7035
13,4.6797,0.8770877718925476,0.5799094438552856,1.1337,0.3928,1.0798,0.4055,0.407,0.6676
14,4.8629,0.8565462827682495,0.5873098373413086,1.215,0.4185,1.1327,0.4289,0.4366,0.6597
15,4.6525,0.853701114654541,0.5908786654472351,1.2927,0.3994,1.0106,0.4186,0.4092,0.6903
16,4.836,0.8366274833679199,0.5972853899002075,1.3735,0.4131,1.1484,0.4442,0.4232,0.6742
17,4.894,0.8235330581665039,0.6025096774101257,1.4554,0.4148,1.0953,0.4258,0.4229,0.688
18,4.9676,0.818362832069397,0.6057010293006897,1.5384,0.4086,1.1902,0.4293,0.4173,0.667
19,4.8855,0.8005310297012329,0.6094179749488831,1.62,0.4476,1.11,0.4616,0.4496,0.6737
20,4.9558,0.7847077250480652,0.61912602186203,1.7029,0.4387,1.1962,0.4605,0.4433,0.6964
21,4.917,0.7898357510566711,0.6128124594688416,1.7852,0.4356,1.0833,0.448,0.4606,0.6823
22,4.7944,0.7811388373374939,0.6198306679725647,1.8654,0.4436,1.1239,0.4718,0.4508,0.6943
23,5.1019,0.767108142375946,0.6247157454490662,1.9507,0.451,1.1245,0.4723,0.4637,0.7141
24,4.9922,0.7569531798362732,0.629376232624054,2.0343,0.4524,1.0153,0.4674,0.4564,0.739
25,5.0121,0.753209114074707,0.6317148804664612,2.118,0.4429,1.1277,0.449,0.4773,0.6793
26,5.0731,0.7406890988349915,0.6338814496994019,2.2027,0.4135,1.1578,0.4309,0.4234,0.6561
27,5.1683,0.7388482093811035,0.639206051826477,2.289,0.4287,1.018,0.4448,0.4464,0.6852
28,5.1498,0.7348566055297852,0.6392228007316589,2.3752,0.4434,1.1123,0.4599,0.4471,0.6737
29,5.1797,0.7223325371742249,0.6404816508293152,2.4618,0.4365,1.1363,0.4509,0.446,0.6976
30,5.1684,0.7217004895210266,0.643314778804779,2.5481,0.4509,1.1634,0.4621,0.4628,0.6811
31,5.1651,0.7088278532028198,0.6500295996665955,2.6344,0.4818,1.1549,0.4828,0.4977,0.7366
32,5.4269,0.7108727097511292,0.6482284665107727,2.725,0.4479,1.1093,0.46,0.4564,0.68
33,5.2009,0.7014876008033752,0.6534193158149719,2.8121,0.4433,1.0825,0.4524,0.4581,0.7306
34,5.0807,0.6934634447097778,0.65887051820755,2.897,0.4165,1.0098,0.4283,0.4191,0.7196
35,5.1612,0.6824378967285156,0.6594748497009277,2.9833,0.4334,1.0804,0.4424,0.4415,0.6798
36,5.1478,0.6701017022132874,0.6651147603988647,3.0693,0.4846,1.0798,0.4882,0.4941,0.7475
37,5.0208,0.671714186668396,0.6668418645858765,3.1533,0.4733,1.0633,0.4949,0.4841,0.716
38,5.0277,0.6724561452865601,0.6639036536216736,3.2375,0.4545,1.0793,0.4573,0.4709,0.7156
39,5.0713,0.665340781211853,0.6649379730224609,3.3222,0.4597,1.054,0.4577,0.4925,0.7084
40,5.3556,0.658244252204895,0.6679550409317017,3.4117,0.4752,1.0552,0.4749,0.488,0.73
41,5.1637,0.6504808664321899,0.6711631417274475,3.498,0.4488,1.1219,0.4637,0.4522,0.6896
42,5.239,0.6491085290908813,0.6731792688369751,3.5855,0.4589,1.0964,0.4564,0.4699,0.7125
43,5.1575,0.6462326645851135,0.676060140132904,3.6717,0.469,1.106,0.4716,0.4795,0.7263
44,5.2035,0.6430633664131165,0.6752121448516846,3.7586,0.4551,1.09,0.4511,0.4829,0.701
45,5.1183,0.6375451683998108,0.6794474124908447,3.8442,0.4616,0.9686,0.4747,0.4844,0.7484
46,5.1182,0.6393691301345825,0.6770514845848083,3.9297,0.4842,1.0886,0.5044,0.4796,0.7281
47,5.077,0.6300414204597473,0.6821156740188599,4.0145,0.47,1.1783,0.4801,0.4725,0.6989
48,5.1392,0.6158153414726257,0.6872205138206482,4.1005,0.462,1.1399,0.4823,0.4592,0.6946
49,5.115,0.6089072823524475,0.6898553371429443,4.186,0.4852,1.1488,0.4865,0.4989,0.7229
50,5.0203,0.6145944595336914,0.6877794861793518,4.2699,0.4517,0.9729,0.4434,0.4676,0.7328
51,5.0922,0.6120308041572571,0.6899126768112183,4.3549,0.4602,0.9763,0.4663,0.4768,0.7136
52,5.0172,0.6027212738990784,0.6906054019927979,4.439,0.4683,1.1668,0.4706,0.4762,0.7106
53,5.001,0.5978869199752808,0.6940572261810303,4.5226,0.4849,1.1453,0.4915,0.4879,0.7169
54,4.9026,0.583967924118042,0.7005928754806519,4.6045,0.4757,1.1695,0.4744,0.4853,0.6955
55,5.0301,0.5891578197479248,0.694566011428833,4.6886,0.4681,1.1571,0.4729,0.4823,0.6861
56,5.0449,0.5848826169967651,0.6972653269767761,4.773,0.453,1.0785,0.4786,0.4377,0.7051
57,5.1002,0.5724440217018127,0.704689621925354,4.8583,0.4785,1.0879,0.4843,0.4853,0.7141
58,5.1827,0.5827828645706177,0.698715329170227,4.945,0.4765,0.9852,0.4677,0.4965,0.7161
59,5.1281,0.5756704807281494,0.7019568681716919,5.0307,0.467,1.0957,0.4661,0.4726,0.6899
60,4.8685,0.561230480670929,0.7068037390708923,5.1122,0.4685,1.164,0.4928,0.4609,0.6986
61,5.0753,0.5645120739936829,0.705872118473053,5.1971,0.4845,1.124,0.4811,0.4998,0.6723
62,4.9849,0.5695191025733948,0.7020070552825928,5.2805,0.4748,1.1417,0.4835,0.4748,0.7129
63,4.9666,0.5538436770439148,0.7111369371414185,5.3636,0.5117,1.135,0.5119,0.5183,0.7482
