epoch,epoch_minutes,loss,sparse_categorical_accuracy,train_hours,val_dice,val_loss,val_precision,val_recall,val_sparse_categorical_accuracy
0,8.0178,1.2701362371444702,0.40525633096694946,0.1336,0.3178,1.059,0.3249,0.3358,0.5606
1,5.0646,1.1455906629562378,0.4861055016517639,0.2184,0.3309,0.9317,0.3346,0.3503,0.6474
2,4.6586,1.0982697010040283,0.5067612528800964,0.2964,0.3502,0.9198,0.372,0.3653,0.6194
3,4.8241,1.076595425605774,0.5109351277351379,0.377,0.344,1.1042,0.3705,0.3549,0.6255
4,4.6506,1.0494277477264404,0.5203965306282043,0.4548,0.3509,1.0658,0.3756,0.3626,0.6432
5,4.4277,1.0185538530349731,0.5355774760246277,0.5288,0.3454,0.9907,0.3583,0.3649,0.649
6,4.2157,0.9896654486656189,0.5414122343063354,0.5992,0.3885,1.0836,0.396,0.403,0.6999
7,3.9715,0.9776779413223267,0.5425019264221191,0.6656,0.3916,1.0074,0.4089,0.412,0.7185
8,4.1678,0.9562389850616455,0.5510872602462769,0.7353,0.3898,1.1356,0.4188,0.426,0.6579
9,4.034,0.9470635652542114,0.5527769923210144,0.8027,0.3766,1.0189,0.3924,0.4067,0.6605
10,4.0046,0.9336452484130859,0.5571524500846863,0.8697,0.3942,1.136,0.4144,0.4073,0.6671
11,4.1647,0.9134950637817383,0.5642785429954529,0.9393,0.4002,1.0911,0.4003,0.4287,0.6708
12,4.0961,0.9063000082969666,0.5668514966964722,1.0077,0.4232,1.033,0.4189,0.4341,0.6775
13,4.1075,0.882975161075592,0.5768793225288391,1.0763,0.4208,1.0693,0.4219,0.4322,0.7106
14,4.2599,0.8680436611175537,0.5811275839805603,1.1476,0.4207,1.0111,0.4378,0.4405,0.6979
15,4.3384,0.8621840476989746,0.5849030613899231,1.2201,0.442,1.0906,0.4359,0.4691,0.6896
16,4.2594,0.8503293991088867,0.5917194485664368,1.2913,0.4331,0.9618,0.4497,0.4556,0.7341
17,4.3713,0.838335394859314,0.5944964289665222,1.3643,0.4359,1.1586,0.4401,0.4566,0.6654
18,4.3509,0.82704097032547,0.598221480846405,1.437,0.4142,1.0683,0.4052,0.4468,0.6302
19,3.9496,0.8119293451309204,0.6037058234214783,1.5031,0.4439,1.0233,0.4472,0.4728,0.7078
20,4.2192,0.8046883940696716,0.6096894145011902,1.5736,0.4398,1.0649,0.4382,0.4609,0.7227
21,4.3088,0.7957844138145447,0.6134528517723083,1.6457,0.4512,1.1551,0.4431,0.4689,0.6924
22,4.2534,0.7966534495353699,0.6142569184303284,1.7167,0.4371,1.015,0.4298,0.4617,0.7196
23,4.2212,0.7870838642120361,0.6140552759170532,1.7873,0.4474,0.9894,0.4387,0.4742,0.6992
24,4.1335,0.7721574306488037,0.6213061809539795,1.8565,0.4512,1.0851,0.4666,0.4875,0.7132
25,4.1902,0.7626168131828308,0.6242751479148865,1.9266,0.4704,1.0665,0.4789,0.5082,0.6979
26,4.3218,0.7513977885246277,0.6311156153678894,1.9989,0.4339,0.9554,0.4335,0.4714,0.7265
27,4.2033,0.749786376953125,0.6328052878379822,2.0692,0.4512,1.0329,0.4402,0.4933,0.6847
28,4.1808,0.7472826242446899,0.631794810295105,2.1391,0.4525,0.9828,0.4468,0.4805,0.6851
29,4.4294,0.7302590608596802,0.6373127698898315,2.213,0.473,0.9877,0.4642,0.5097,0.7411
30,4.2603,0.7233731150627136,0.6420314908027649,2.2842,0.4776,1.0728,0.4819,0.5047,0.7193
31,4.2488,0.7289394736289978,0.6381600499153137,2.3552,0.4685,0.9793,0.4688,0.4988,0.7305
32,4.2382,0.7072892189025879,0.6483199000358582,2.426,0.4769,0.9755,0.4819,0.5065,0.7486
33,4.3337,0.7049683332443237,0.6505496501922607,2.4984,0.4579,1.0618,0.4556,0.4957,0.7291
34,4.4065,0.7016177177429199,0.650048017501831,2.5722,0.4545,0.985,0.4454,0.4976,0.717
35,4.1344,0.6885499358177185,0.6558995842933655,2.6414,0.4682,0.9867,0.4633,0.4999,0.7192
36,4.2926,0.6967374086380005,0.6539650559425354,2.7131,0.4906,1.1121,0.49,0.5242,0.7228
37,4.2389,0.6837771534919739,0.6591398119926453,2.7839,0.4887,1.0081,0.4858,0.5056,0.7436
38,4.4384,0.6816754937171936,0.6598958373069763,2.8583,0.4668,1.0039,0.466,0.4935,0.7258
39,4.392,0.6866628527641296,0.6565236449241638,2.9317,0.4705,0.9946,0.4723,0.4921,0.6886
40,4.4781,0.694618284702301,0.6538450717926025,3.0065,0.4561,0.9993,0.4594,0.4867,0.7226
41,4.2771,0.688890814781189,0.6553235650062561,3.078,0.4522,0.9464,0.4404,0.4833,0.6765
42,4.2712,0.6825970411300659,0.6599942445755005,3.1493,0.4797,1.1042,0.4685,0.5029,0.6897
43,4.3057,0.685538649559021,0.6582997441291809,3.2213,0.468,1.1136,0.4643,0.5076,0.6915
44,4.4279,0.6725791692733765,0.6627568006515503,3.2953,0.4668,0.9723,0.4563,0.4902,0.7275
45,4.3416,0.678827702999115,0.659648597240448,3.3678,0.4589,0.901,0.4442,0.4943,0.6904
46,4.2627,0.6766573190689087,0.6603206396102905,3.4392,0.4487,1.0403,0.4364,0.4816,0.7036
47,4.1935,0.6761708855628967,0.6615735292434692,3.5092,0.4659,1.0135,0.4511,0.5017,0.7056
48,4.4043,0.6775913238525391,0.6614103317260742,3.5828,0.4753,0.979,0.4646,0.4991,0.7168
49,4.2848,0.6773449778556824,0.6623656153678894,3.6544,0.4661,1.0945,0.466,0.4959,0.7101
