epoch,epoch_minutes,loss,sparse_categorical_accuracy,train_hours,val_dice,val_loss,val_precision,val_recall,val_sparse_categorical_accuracy
0,7.7122,1.2515112161636353,0.4205165207386017,0.1285,0.3076,1.063,0.3193,0.3264,0.5617
1,3.8654,1.1390820741653442,0.4874832034111023,0.1933,0.3296,1.0453,0.337,0.3468,0.6491
2,3.6446,1.0838472843170166,0.5128552317619324,0.2542,0.3491,1.13,0.3645,0.3726,0.5842
3,3.4812,1.0420126914978027,0.5290490388870239,0.3123,0.3422,1.0932,0.3761,0.3544,0.6427
4,3.6053,1.0232042074203491,0.5324596762657166,0.3726,0.343,1.0361,0.3583,0.3603,0.6602
5,3.676,0.9999212622642517,0.5391945242881775,0.434,0.3457,0.966,0.3571,0.3559,0.6574
6,3.616,0.9798065423965454,0.5444844365119934,0.4945,0.3756,1.0257,0.4011,0.3904,0.687
7,3.6842,0.9580984115600586,0.5548267364501953,0.556,0.3687,1.046,0.3971,0.3916,0.655
8,3.4642,0.9358479380607605,0.559209406375885,0.6139,0.3523,0.9616,0.3624,0.3713,0.7001
9,3.7523,0.9192206859588623,0.5676219463348389,0.6766,0.3775,1.0817,0.3883,0.392,0.6744
10,3.6104,0.9155773520469666,0.5645041465759277,0.737,0.3725,1.0854,0.3955,0.391,0.6731
11,3.7386,0.8947658538818359,0.5710037350654602,0.7995,0.4078,1.0573,0.4233,0.4331,0.7118
12,3.5043,0.8717947602272034,0.5827308893203735,0.8581,0.384,1.0524,0.3932,0.3978,0.68
13,3.7719,0.8682078719139099,0.583398163318634,0.9212,0.3816,1.0913,0.388,0.4019,0.6386
14,3.4444,0.8548538684844971,0.586585521697998,0.9788,0.3784,1.1025,0.3923,0.41,0.6407
15,3.714,0.8420120477676392,0.5928187370300293,1.0408,0.383,1.1611,0.39,0.3961,0.6542
16,3.772,0.8269137144088745,0.599291980266571,1.1039,0.4089,0.979,0.417,0.4227,0.6796
