epoch,epoch_minutes,loss,sparse_categorical_accuracy,train_hours,val_dice,val_loss,val_precision,val_recall,val_sparse_categorical_accuracy
0,7.255,1.2593669891357422,0.41671374440193176,0.1209,0.3051,0.9723,0.3181,0.3306,0.5808
1,6.668,1.141720175743103,0.48556622862815857,0.2326,0.3348,0.9294,0.3407,0.352,0.5811
2,6.3067,1.0747075080871582,0.5175010561943054,0.338,0.3321,1.0188,0.3501,0.3514,0.6165
3,5.6284,1.0427525043487549,0.5282928347587585,0.432,0.3314,1.0125,0.3461,0.3546,0.651
4,4.7406,1.0192886590957642,0.5376096367835999,0.5112,0.3534,1.0534,0.3682,0.3667,0.6837
5,4.3509,0.9922323226928711,0.5464284420013428,0.584,0.342,0.9963,0.3463,0.356,0.6558
6,4.5201,0.9660091400146484,0.5575219392776489,0.6595,0.3524,1.1332,0.3698,0.3653,0.6397
7,4.3354,0.9541712403297424,0.5578164458274841,0.7319,0.3774,1.0519,0.3813,0.393,0.6741
8,4.759,0.9347198605537415,0.5616858601570129,0.8115,0.3584,1.1776,0.3692,0.3676,0.6454
9,4.348,0.9162306189537048,0.568634569644928,0.8842,0.3836,0.9887,0.4005,0.4042,0.6947
10,4.4528,0.9058482646942139,0.5718694925308228,0.9586,0.3906,1.2384,0.3953,0.4031,0.6656
11,4.3663,0.8902047872543335,0.5819190144538879,1.0316,0.3864,0.9672,0.4001,0.401,0.6834
12,4.5029,0.8681173324584961,0.5898805856704712,1.1069,0.4133,1.0717,0.4203,0.4199,0.7153
13,4.5755,0.8646883368492126,0.5881397724151611,1.1835,0.4202,1.0582,0.4301,0.4354,0.7029
14,4.472,0.8545018434524536,0.592497706413269,1.2585,0.3851,1.0858,0.3878,0.4034,0.6525
15,4.595,0.8388660550117493,0.598004937171936,1.3353,0.4144,0.9719,0.4138,0.4276,0.7141
16,4.3263,0.8209609985351562,0.6074247360229492,1.4076,0.3999,0.9894,0.4012,0.4179,0.6567
17,4.5257,0.81474769115448,0.6065459251403809,1.4833,0.4291,1.1003,0.4349,0.4403,0.6619
18,4.4528,0.803683340549469,0.61171555519104,1.5576,0.4278,1.162,0.4277,0.4478,0.6748
19,4.48,0.7931579351425171,0.6172299981117249,1.6326,0.4314,1.0906,0.4323,0.4439,0.6793
20,4.4454,0.7858407497406006,0.62147057056427,1.7069,0.4297,1.1177,0.4265,0.4369,0.7007
21,4.0601,0.7699815630912781,0.6273800730705261,1.7748,0.4343,1.1237,0.4345,0.4493,0.6929
22,4.4702,0.7658724784851074,0.628108024597168,1.8496,0.4445,1.1092,0.4514,0.4581,0.6915
23,4.4624,0.7540144920349121,0.6326814293861389,1.9242,0.4485,1.178,0.4702,0.4444,0.7046
24,4.4924,0.7484835386276245,0.6362707018852234,1.9993,0.4304,1.0421,0.4241,0.4462,0.683
25,4.5393,0.7340885400772095,0.6442226767539978,2.0751,0.4274,1.0476,0.4251,0.438,0.7026
26,4.3727,0.7397863268852234,0.6377887725830078,2.1482,0.4363,1.1265,0.4443,0.4437,0.6949
27,4.2316,0.725129246711731,0.6448380351066589,2.2189,0.4354,1.1,0.4363,0.4473,0.6475
28,3.9091,0.7256815433502197,0.6429679989814758,2.2844,0.448,1.0715,0.442,0.4739,0.7189
29,4.1863,0.712228000164032,0.6485470533370972,2.3543,0.4559,1.111,0.4578,0.4653,0.6758
30,4.3381,0.6999849677085876,0.6541500687599182,2.4267,0.4413,1.031,0.4393,0.4521,0.6854
31,4.3543,0.7048346996307373,0.6535011529922485,2.4996,0.4821,1.0196,0.471,0.5034,0.7379
32,4.3978,0.684609591960907,0.6610867977142334,2.5732,0.4568,1.0286,0.4518,0.4705,0.7131
33,4.3908,0.675154447555542,0.6618937253952026,2.6465,0.4749,1.1195,0.4702,0.4892,0.7106
34,4.304,0.680970311164856,0.6634788513183594,2.7185,0.4478,1.0287,0.45,0.4585,0.708
35,4.6279,0.6808247566223145,0.6622098088264465,2.7958,0.4699,0.9905,0.4633,0.4845,0.7284
36,4.4035,0.6720896363258362,0.6645755171775818,2.8694,0.4673,1.0901,0.459,0.4831,0.7032
37,4.5337,0.6741326451301575,0.6658685207366943,2.9452,0.4551,1.0532,0.4549,0.4695,0.7218
38,4.6517,0.6744462847709656,0.6633375883102417,3.0229,0.484,1.1476,0.4797,0.4955,0.7123
39,4.4731,0.666283369064331,0.6681144833564758,3.0979,0.473,1.0186,0.4693,0.4881,0.711
40,4.3714,0.6691299676895142,0.6673794388771057,3.1709,0.4731,1.0843,0.4643,0.502,0.7088
41,4.3763,0.673241138458252,0.6621930599212646,3.244,0.4541,1.1088,0.4482,0.4698,0.6917
42,4.4992,0.6692034006118774,0.6663809418678284,3.3191,0.4736,1.2146,0.4739,0.4854,0.7063
43,4.4294,0.6601074934005737,0.6703557372093201,3.3931,0.4728,1.0935,0.4762,0.4831,0.7195
44,4.454,0.6646211743354797,0.670372486114502,3.4675,0.4809,1.0478,0.4739,0.495,0.7307
45,4.4269,0.6627786755561829,0.6682773232460022,3.5415,0.4638,0.9439,0.4668,0.4721,0.7039
46,4.3712,0.6642882227897644,0.6665054559707642,3.6145,0.4744,0.9643,0.4636,0.4951,0.7692
