epoch,epoch_minutes,loss,sparse_categorical_accuracy,train_hours,val_dice,val_loss,val_precision,val_recall,val_sparse_categorical_accuracy
0,6.3984,1.2422109842300415,0.4270992577075958,0.1066,0.3246,1.0721,0.3378,0.3616,0.5291
1,3.4276,1.1042835712432861,0.5131120085716248,0.1644,0.3873,1.1999,0.3883,0.4204,0.6737
2,3.1693,1.023934006690979,0.5426038503646851,0.2174,0.4244,1.0664,0.4307,0.4561,0.6875
3,3.218,0.9790905117988586,0.5538955926895142,0.2713,0.4452,1.0959,0.4638,0.4686,0.7232
4,3.2819,0.9436632394790649,0.563849687576294,0.3262,0.4604,1.2429,0.4634,0.4767,0.7086
5,3.2187,0.9248252511024475,0.5683190822601318,0.38,0.4371,1.0156,0.453,0.4544,0.7118
6,3.2142,0.9035928249359131,0.5792692303657532,0.4338,0.484,1.1191,0.494,0.5011,0.7429
7,3.2712,0.8931650519371033,0.5842784643173218,0.4885,0.466,1.1174,0.4736,0.4778,0.7428
8,3.1776,0.8744456768035889,0.5880551338195801,0.5417,0.4775,1.1247,0.4947,0.5011,0.7179
9,3.211,0.8570484519004822,0.5967813730239868,0.5954,0.4711,1.0366,0.4893,0.4959,0.7365
10,3.2085,0.8347356915473938,0.6091313362121582,0.649,0.522,1.1886,0.5266,0.5457,0.7534
11,3.2849,0.8455348610877991,0.6024690270423889,0.7039,0.5145,1.0977,0.5029,0.557,0.7092
12,3.2707,0.8294399380683899,0.6112406253814697,0.7586,0.5129,1.0116,0.5148,0.5478,0.7695
13,3.1857,0.8092442154884338,0.6200456619262695,0.8119,0.5169,1.0901,0.5176,0.5428,0.7576
14,3.2284,0.8074716329574585,0.6167826056480408,0.8661,0.5267,1.1373,0.526,0.5609,0.7297
15,3.2081,0.7866926789283752,0.624930739402771,0.9198,0.5081,1.0991,0.5057,0.5244,0.7283
16,3.2475,0.7912846207618713,0.6261848211288452,0.9741,0.5165,1.0791,0.5348,0.5278,0.7552
17,3.232,0.7768877744674683,0.6293643116950989,1.0282,0.4954,1.0616,0.4986,0.5316,0.7141
18,3.1489,0.7638444900512695,0.6380236148834229,1.0808,0.5006,1.0733,0.5065,0.5212,0.746
19,3.194,0.7599560618400574,0.6381335258483887,1.1342,0.5417,0.9896,0.5474,0.577,0.7832
20,3.164,0.7503296732902527,0.6410979628562927,1.1871,0.5212,1.1477,0.5214,0.5536,0.7338
21,3.1362,0.7396993041038513,0.6434580683708191,1.2395,0.5338,1.1438,0.548,0.5384,0.7636
22,3.1531,0.738102912902832,0.6429635882377625,1.2922,0.5534,1.0379,0.5512,0.5911,0.7874
23,3.0998,0.732620894908905,0.6467641592025757,1.3441,0.5279,1.1871,0.5302,0.5475,0.7517
24,3.2203,0.7263849377632141,0.6507534384727478,1.3979,0.5619,1.1569,0.5492,0.6045,0.7457
25,3.2099,0.7196827530860901,0.6506555080413818,1.4516,0.5307,1.1481,0.5263,0.5625,0.7163
26,3.06,0.7076243162155151,0.6563694477081299,1.5028,0.5435,1.1394,0.5553,0.5724,0.7698
27,2.9932,0.6983787417411804,0.6601699590682983,1.553,0.5613,1.1316,0.567,0.5839,0.7851
28,2.9618,0.6978899836540222,0.6577644944190979,1.6026,0.5669,1.0657,0.5678,0.5825,0.7796
29,2.9585,0.7061728239059448,0.656085193157196,1.6521,0.5493,1.1394,0.5465,0.5689,0.757
30,2.9902,0.6956583261489868,0.658966064453125,1.7022,0.5271,1.0272,0.5311,0.5561,0.7596
31,3.0509,0.6852872371673584,0.6651983857154846,1.7531,0.5531,1.0928,0.5615,0.5713,0.7662
32,3.0035,0.6861980557441711,0.6629003882408142,1.8034,0.5676,1.1722,0.5742,0.5936,0.7738
33,2.9822,0.6697437167167664,0.6686238646507263,1.8533,0.5542,1.1812,0.5576,0.5632,0.768
34,3.0011,0.6761362552642822,0.6677806377410889,1.9035,0.5703,1.1407,0.5843,0.5781,0.7894
35,2.9378,0.6674646139144897,0.6694599390029907,1.9527,0.5624,1.1552,0.5663,0.5761,0.7731
36,2.9936,0.6576904654502869,0.6736689805984497,2.0028,0.5668,1.0724,0.5718,0.5939,0.7416
37,3.0244,0.6535314321517944,0.67605060338974,2.0533,0.5796,1.1133,0.5833,0.5927,0.7769
38,2.9229,0.6621096134185791,0.6699783205986023,2.1022,0.5633,1.1374,0.5635,0.5883,0.7742
39,3.0157,0.6624572277069092,0.6693524718284607,2.1528,0.5628,0.9581,0.5561,0.5893,0.7802
40,2.9993,0.6517577171325684,0.6739914417266846,2.203,0.5497,1.1809,0.5504,0.5603,0.7391
41,2.8868,0.6429654359817505,0.6780428290367126,2.2513,0.5367,1.0261,0.5284,0.5731,0.7642
42,3.0112,0.6396981477737427,0.6806919574737549,2.3017,0.5683,1.1364,0.5721,0.5926,0.7676
43,2.9665,0.6334249377250671,0.6839120388031006,2.3513,0.5394,1.044,0.5286,0.5847,0.753
44,2.9648,0.6288819313049316,0.6854671239852905,2.4009,0.5741,1.1207,0.5652,0.5987,0.7533
45,2.9842,0.6348147392272949,0.6792420148849487,2.4508,0.5477,1.0254,0.5441,0.5574,0.7816
46,2.9778,0.6289546489715576,0.6845307350158691,2.5006,0.5606,1.0731,0.5583,0.5715,0.7585
47,2.8698,0.6286232471466064,0.6842823028564453,2.5486,0.5675,1.0229,0.5809,0.575,0.7916
48,2.9267,0.6216166019439697,0.6850467324256897,2.5975,0.55,1.0607,0.555,0.5674,0.7667
49,2.8795,0.6188381314277649,0.6865277886390686,2.6457,0.5737,1.0378,0.5698,0.5985,0.7969
50,2.9112,0.6163944602012634,0.6880446672439575,2.6944,0.5727,1.2375,0.5663,0.5961,0.764
51,2.9601,0.6151081919670105,0.690488338470459,2.7439,0.5732,1.105,0.5804,0.5709,0.7676
52,3.0062,0.6097322702407837,0.6901443600654602,2.7943,0.5789,1.0684,0.5777,0.6039,0.7886
53,2.9643,0.609761655330658,0.6923062205314636,2.8439,0.5621,1.0972,0.5543,0.5943,0.7549
54,2.9147,0.6028539538383484,0.6949410438537598,2.8926,0.5714,1.0238,0.5569,0.5993,0.7989
55,2.9198,0.5909892320632935,0.697348952293396,2.9414,0.558,1.0701,0.5593,0.5718,0.7629
56,2.9354,0.5957491397857666,0.6929798722267151,2.9905,0.5696,1.1538,0.5575,0.5932,0.7726
57,2.929,0.5953670740127563,0.6947594881057739,3.0395,0.5578,1.1291,0.5651,0.5627,0.7541
58,2.9484,0.5963307619094849,0.6943629384040833,3.0888,0.558,1.0389,0.5522,0.577,0.7555
59,2.9636,0.5864142179489136,0.698882520198822,3.1383,0.5743,1.0181,0.577,0.5937,0.7911
60,2.9011,0.5863903164863586,0.6969045996665955,3.1869,0.572,1.1162,0.5629,0.5973,0.7616
61,2.9461,0.5881710052490234,0.6967469453811646,3.2362,0.5554,1.0786,0.5495,0.5625,0.781
62,2.9839,0.5736604332923889,0.7011423110961914,3.2862,0.5506,1.0393,0.5388,0.5783,0.7484
63,2.9713,0.5927484035491943,0.6950079202651978,3.3358,0.5509,0.9592,0.5519,0.5547,0.7807
64,2.9563,0.5756101012229919,0.6998117566108704,3.3854,0.579,1.144,0.5695,0.6048,0.7688
65,2.8489,0.5831640362739563,0.7012904286384583,3.4332,0.578,1.0668,0.5697,0.5928,0.7926
66,2.8433,0.5716421008110046,0.7034044861793518,3.4807,0.5843,1.1835,0.5712,0.6105,0.759
67,2.7181,0.5726134777069092,0.7042763829231262,3.5262,0.5455,1.1338,0.5369,0.5902,0.7197
68,2.693,0.573122501373291,0.7021002173423767,3.5712,0.5879,1.1052,0.5834,0.6123,0.7808
69,2.7409,0.5675162076950073,0.7063713669776917,3.617,0.5821,1.0903,0.5746,0.5968,0.7994
70,2.6574,0.5588071346282959,0.7111536860466003,3.6615,0.6038,1.1644,0.5977,0.6182,0.8033
71,2.6762,0.54645836353302,0.7131029367446899,3.7063,0.5845,0.9872,0.5868,0.5879,0.7978
72,2.7519,0.5469312071800232,0.7141540050506592,3.7523,0.5783,0.9692,0.5779,0.5911,0.7774
73,2.7696,0.5551517605781555,0.7102053165435791,3.7986,0.5738,1.1235,0.57,0.5785,0.7859
74,2.8072,0.5434138178825378,0.7167530059814453,3.8456,0.5927,1.2072,0.5831,0.6132,0.7929
75,2.7311,0.548786997795105,0.7122740149497986,3.8913,0.5769,1.1276,0.5657,0.5968,0.7627
76,2.6977,0.5599114894866943,0.708803117275238,3.9365,0.544,1.0903,0.548,0.5635,0.7612
77,2.6864,0.5438936352729797,0.7155705094337463,3.9815,0.5999,1.103,0.594,0.6124,0.7833
78,2.7678,0.5480212569236755,0.717460036277771,4.0278,0.5581,1.1032,0.5435,0.5879,0.7355
79,2.7725,0.5379717350006104,0.7184036374092102,4.0742,0.5734,1.0283,0.5641,0.601,0.7737
80,2.7107,0.537685751914978,0.7175006866455078,4.1195,0.5955,1.1073,0.5984,0.6086,0.7986
81,2.7793,0.5459505319595337,0.7151286005973816,4.1659,0.5763,1.1025,0.5694,0.5974,0.7612
82,2.7014,0.5407037138938904,0.718742847442627,4.2111,0.5685,1.0904,0.5644,0.5813,0.7768
83,2.7195,0.5415554642677307,0.7148969173431396,4.2565,0.5882,1.0834,0.5815,0.6072,0.7796
84,2.6279,0.5417277216911316,0.714669942855835,4.3005,0.5832,1.1858,0.5844,0.5928,0.7831
85,2.3805,0.5446666479110718,0.7152098417282104,4.3403,0.5901,1.144,0.5812,0.6119,0.7716
86,2.4345,0.5460537672042847,0.7149040699005127,4.381,0.574,1.1292,0.563,0.595,0.7657
87,2.4747,0.5400053262710571,0.7154749631881714,4.4223,0.5564,1.1235,0.5514,0.5764,0.7585
88,2.4445,0.5413727164268494,0.712909460067749,4.4632,0.5918,1.1026,0.584,0.6123,0.7829
89,2.4359,0.5373532772064209,0.7183104753494263,4.5038,0.5909,1.1152,0.5937,0.5917,0.7835
90,2.5135,0.5414915680885315,0.7165499329566956,4.5459,0.5913,1.2071,0.6013,0.5951,0.7936
91,2.5204,0.5411500334739685,0.716005265712738,4.588,0.5803,1.0867,0.5787,0.5909,0.7831
92,2.4483,0.5337077379226685,0.7182555198669434,4.6289,0.5924,1.142,0.5827,0.6193,0.7805
93,2.4103,0.548019289970398,0.7124173641204834,4.6692,0.5734,1.0265,0.5646,0.5918,0.7869
94,2.4366,0.5331962704658508,0.7183391451835632,4.7099,0.5526,1.0239,0.5378,0.583,0.7652
