epoch,epoch_minutes,loss,sparse_categorical_accuracy,train_hours,val_dice,val_loss,val_precision,val_recall,val_sparse_categorical_accuracy
0,4.9776,1.2408833503723145,0.4306633174419403,0.083,0.3131,1.0598,0.3276,0.342,0.5412
1,2.2015,1.088383436203003,0.5217378735542297,0.1198,0.3824,1.0726,0.3922,0.386,0.6885
2,2.0191,1.0167964696884155,0.5400574207305908,0.1536,0.3945,1.1311,0.4103,0.4123,0.6928
3,1.9872,0.9678840041160583,0.5574620366096497,0.1867,0.3915,1.1765,0.4025,0.4067,0.6879
4,2.4621,0.9415450096130371,0.566840410232544,0.2279,0.4198,0.9641,0.4347,0.4514,0.6692
5,3.5144,0.9208303093910217,0.5738204121589661,0.2866,0.4244,1.0478,0.4287,0.4397,0.726
6,3.4587,0.8939205408096313,0.5841709971427917,0.3445,0.4139,0.8719,0.4137,0.4354,0.6993
7,3.5845,0.8722776174545288,0.5910912752151489,0.4045,0.412,0.9278,0.4235,0.4313,0.6998
8,3.4373,0.867668628692627,0.5906661152839661,0.4621,0.4419,1.0801,0.4497,0.4717,0.6716
9,3.6251,0.8513188362121582,0.5962343215942383,0.5228,0.4921,1.0676,0.5083,0.4986,0.704
10,3.5646,0.8343571424484253,0.606494128704071,0.5824,0.4816,1.0511,0.4873,0.5151,0.7444
11,3.4235,0.8321006298065186,0.6043633222579956,0.6397,0.4717,0.8742,0.4669,0.5288,0.7137
12,3.5445,0.8023539185523987,0.6183902621269226,0.699,0.4872,1.0095,0.4845,0.5385,0.7322
13,3.5701,0.8012657165527344,0.6197781562805176,0.7588,0.509,0.9943,0.4949,0.5549,0.7561
14,3.5164,0.8037773370742798,0.6175732612609863,0.8179,0.4893,1.0226,0.4946,0.5176,0.7416
15,3.5544,0.7873862981796265,0.6239656805992126,0.8775,0.4882,0.9749,0.4814,0.5111,0.7535
16,3.4654,0.7685696482658386,0.6301549673080444,0.9355,0.4676,1.1038,0.4626,0.495,0.7135
17,3.5166,0.761481761932373,0.6386733651161194,0.9943,0.4724,1.0107,0.4622,0.5141,0.7132
18,3.4996,0.7597257494926453,0.6347724795341492,1.0529,0.457,0.9518,0.4656,0.5209,0.724
19,3.4654,0.7564486265182495,0.6360480785369873,1.1108,0.5108,1.1377,0.5052,0.5283,0.7704
20,3.5736,0.7316752672195435,0.6457298398017883,1.1707,0.4815,0.9612,0.4677,0.5249,0.7199
21,3.4783,0.7285599112510681,0.6472873091697693,1.2289,0.4878,1.0593,0.496,0.5226,0.7408
22,3.5216,0.730316162109375,0.6480087041854858,1.2878,0.4783,1.0641,0.4775,0.5269,0.7424
23,3.4832,0.7272986173629761,0.6475070714950562,1.3462,0.506,1.0174,0.493,0.5301,0.7642
24,3.552,0.7105293273925781,0.6526429653167725,1.4056,0.5169,0.9725,0.5087,0.5519,0.7671
25,3.5323,0.7058510184288025,0.6553470492362976,1.4649,0.4875,0.9586,0.4691,0.5268,0.7292
26,3.5576,0.7026198506355286,0.6561687588691711,1.5245,0.5082,0.9579,0.4979,0.552,0.7498
27,3.3801,0.6962276101112366,0.6592789888381958,1.5812,0.5092,1.0114,0.4896,0.5547,0.7149
28,3.3753,0.6974824070930481,0.6594222784042358,1.6377,0.5054,1.0667,0.4976,0.5681,0.6705
29,3.4389,0.6841504573822021,0.6642595529556274,1.6952,0.5069,1.0712,0.4899,0.5366,0.7335
30,3.5542,0.6744669079780579,0.6667797565460205,1.7545,0.5102,1.0423,0.5032,0.5454,0.7596
31,3.4719,0.681360125541687,0.6649547219276428,1.8126,0.5306,1.0624,0.5236,0.5668,0.7373
32,3.478,0.6763240098953247,0.6670568585395813,1.8708,0.5433,1.1403,0.5423,0.5655,0.7625
33,3.4632,0.6741140484809875,0.6685402393341064,1.9288,0.5065,1.0453,0.5009,0.5314,0.721
34,3.4226,0.6594135761260986,0.6725103855133057,1.9861,0.5318,1.0058,0.5354,0.5686,0.733
35,3.3883,0.6559303402900696,0.6748418807983398,2.0427,0.5127,1.0306,0.5131,0.5493,0.7689
36,3.3986,0.647618293762207,0.6754509806632996,2.0995,0.5029,0.976,0.4893,0.5343,0.6911
37,3.4544,0.6385790705680847,0.680438756942749,2.1573,0.5131,1.0709,0.4968,0.5425,0.7427
38,3.4425,0.6369260549545288,0.680402934551239,2.215,0.5348,0.9276,0.5189,0.5761,0.7375
39,3.494,0.6421804428100586,0.6799132227897644,2.2738,0.5169,1.0504,0.5093,0.5452,0.7605
40,3.5542,0.6230580806732178,0.6869267225265503,2.3332,0.5587,1.057,0.5489,0.6045,0.7854
41,3.4075,0.6258301734924316,0.6863844394683838,2.3903,0.5325,1.0341,0.5244,0.5551,0.7893
42,3.4472,0.6227902770042419,0.6883384585380554,2.4479,0.5484,1.0636,0.5397,0.5692,0.7417
43,3.5439,0.6269673705101013,0.6870843768119812,2.5073,0.5306,0.9481,0.5177,0.5521,0.7442
44,3.4166,0.6397711038589478,0.6811506152153015,2.5645,0.5624,0.9917,0.5507,0.5989,0.765
45,3.4763,0.6351183652877808,0.6839311718940735,2.6226,0.5154,0.9234,0.4995,0.5477,0.752
46,3.4347,0.6243712306022644,0.6881903409957886,2.68,0.4941,0.9128,0.4884,0.5253,0.7092
47,3.4522,0.6314109563827515,0.6813489198684692,2.7378,0.5552,1.1841,0.553,0.5846,0.7544
48,3.407,0.6298830509185791,0.6808400750160217,2.7949,0.542,1.1073,0.5364,0.5679,0.7441
49,3.4498,0.6251286268234253,0.6887469291687012,2.8527,0.5014,0.8517,0.4921,0.5324,0.7582
50,3.4698,0.6192989945411682,0.6899269819259644,2.9108,0.4922,0.9231,0.4749,0.5328,0.7472
51,3.4844,0.6201764345169067,0.6865994334220886,2.9692,0.5344,1.0224,0.5136,0.5786,0.7627
52,3.4453,0.6138229966163635,0.6911811232566833,3.0268,0.54,0.9865,0.5387,0.5764,0.7722
53,3.4285,0.623874843120575,0.6883336901664734,3.0841,0.5327,1.0406,0.5148,0.5732,0.7121
54,3.491,0.6301700472831726,0.6831954121589661,3.1426,0.549,0.9954,0.5348,0.576,0.7842
55,3.544,0.6191691756248474,0.6871010661125183,3.2018,0.5748,1.1332,0.5711,0.5858,0.7684
56,3.5567,0.6126478910446167,0.6886895895004272,3.2614,0.5472,1.078,0.5318,0.5722,0.7479
57,3.4955,0.6229607462882996,0.6876481175422668,3.3198,0.5443,0.9897,0.523,0.5824,0.7656
58,3.3887,0.6242090463638306,0.6842297911643982,3.3765,0.5368,0.9815,0.5209,0.5707,0.7291
59,3.5135,0.6157037615776062,0.6903020143508911,3.4352,0.5219,1.0442,0.5146,0.5601,0.7368
60,3.3995,0.618349552154541,0.6910569071769714,3.492,0.5179,1.1362,0.5049,0.5514,0.7557
61,3.5144,0.6129635572433472,0.6909040212631226,3.5511,0.5165,1.0442,0.4997,0.5596,0.7346
62,3.5185,0.6141930818557739,0.6914725303649902,3.6101,0.5164,1.0163,0.5048,0.5527,0.7896
63,3.5544,0.611318051815033,0.6906937956809998,3.6697,0.5375,0.9124,0.5168,0.5772,0.7467
64,3.4564,0.6195260286331177,0.6881282329559326,3.7276,0.5245,0.9626,0.5141,0.5693,0.7867
65,3.4839,0.6072303652763367,0.6926525831222534,3.7861,0.5316,1.0099,0.5205,0.5592,0.7261
